CHEBI:143290	MESH:C042256
CHEBI:77918	MESH:C016007
CHEBI:28638	MESH:C022246
CHEBI:80782	MESH:C421091
CHEBI:64336	MESH:C030546
CHEBI:81554	MESH:C406602
CHEBI:94579	MESH:C009720
CHEBI:92130	MESH:C067052
CHEBI:75547	MESH:C004204
CHEBI:40114	MESH:C097719
CHEBI:69653	MESH:C568799
CHEBI:5380	MESH:C441193
CHEBI:91423	MESH:C533207
CHEBI:61829	MESH:C015073
CHEBI:30831	MESH:C005087
CHEBI:27686	MESH:C431922
CHEBI:68451	MESH:C066029
CHEBI:73909	MESH:C035809
CHEBI:33380	MESH:D013932
CHEBI:74564	MESH:C024575
CHEBI:90682	MESH:C558529
CHEBI:15349	MESH:C035911
CHEBI:82615	MESH:C003915
CHEBI:83487	MESH:C534368
CHEBI:80699	MESH:C010032
CHEBI:15429	MESH:D019811
CHEBI:66138	MESH:C071757
CHEBI:46759	MESH:C100184
CHEBI:89118	MESH:C521074
CHEBI:61345	MESH:C058543
CHEBI:8179	MESH:C008903
CHEBI:17509	MESH:C008500
CHEBI:35860	MESH:C041507
CHEBI:16446	MESH:C019049
CHEBI:64803	MESH:C043584
CHEBI:3982	MESH:C066548
CHEBI:17037	MESH:C410326
CHEBI:60788	MESH:D000345
CHEBI:26155	MESH:D010937
CHEBI:47276	MESH:C110059
CHEBI:82385	MESH:C013399
CHEBI:8870	MESH:C009188
CHEBI:36057	MESH:C504763
CHEBI:59685	MESH:C547162
CHEBI:59114	MESH:C005299
CHEBI:32117	MESH:C419423
CHEBI:47319	MESH:C112343
CHEBI:135070	MESH:C005447
CHEBI:16325	MESH:D008095
CHEBI:43089	MESH:C029604
CHEBI:80238	MESH:C039065
CHEBI:75157	MESH:C018400
CHEBI:30362	MESH:C067038
CHEBI:30744	MESH:D062907
CHEBI:135512	MESH:C017136
CHEBI:65400	MESH:C518547
CHEBI:86940	MESH:C473506
CHEBI:2937	MESH:C582638
CHEBI:51626	MESH:C069306
CHEBI:35036	MESH:C012594
CHEBI:82316	MESH:C016372
CHEBI:32592	MESH:C012766
CHEBI:9205	MESH:C485199
CHEBI:65975	MESH:C411679
CHEBI:9921	MESH:C037133
CHEBI:28865	MESH:D013656
CHEBI:10028	MESH:C059730
CHEBI:74766	MESH:C002347
CHEBI:9020	MESH:C477157
CHEBI:240107	MESH:C053083
CHEBI:66191	MESH:C502681
CHEBI:32428	MESH:C015058
CHEBI:135177	MESH:D007488
CHEBI:135770	MESH:C030949
CHEBI:82355	MESH:C062494
CHEBI:85033	MESH:D003035
CHEBI:4868	MESH:D004961
CHEBI:73689	MESH:C547767
CHEBI:6613	MESH:C050421
CHEBI:142867	MESH:C100397
CHEBI:80620	MESH:C027187
CHEBI:65460	MESH:C041388
CHEBI:2965	MESH:C072247
CHEBI:32316	MESH:C022172
CHEBI:50369	MESH:C079689
CHEBI:69927	MESH:C557424
CHEBI:38704	MESH:C004572
CHEBI:60706	MESH:C121029
CHEBI:17566	MESH:C016516
CHEBI:90250	MESH:C048448
CHEBI:6717	MESH:D008528
CHEBI:14158	MESH:C045373
CHEBI:33373	MESH:D011399
CHEBI:93436	MESH:C065046
CHEBI:92339	MESH:C498148
